M,N,MSE,MSE,NormInf,NormInf,Time,
5,6,2.39e-12,3.56e-09,2.05e-06,1.21e-04,1.66
7,8,5.30e-14,6.60e-12,3.01e-07,6.55e-06,3.00
9,10,1.82e-16,1.97e-15,1.85e-08,1.32e-07,4.41
11,12,9.25e-19,1.66e-17,1.32e-09,1.03e-08,6.02
13,14,1.21e-19,3.26e-19,4.39e-10,1.10e-09,8.25
