x_train,exact,predicted,error,
degree 4
0.0000,1.000000000000000,1.000000000000000,2.22e-16
0.1000,1.005020918400460,1.003596088717660,1.42e-03
0.2000,1.020338844941190,1.020104717738439,2.34e-04
0.3000,1.046751601538090,1.047588206472742,8.37e-04
0.4000,1.085704428383240,1.086292391150017,5.88e-04
0.5000,1.139493927324550,1.138646624818755,8.47e-04
0.6000,1.211628314512320,1.209263777346489,2.36e-03
0.7000,1.307459259733590,1.304940235419794,2.52e-03
0.8000,1.435324199672240,1.434655902544289,6.68e-04
0.9000,1.608725810466050,1.609574199044635,8.48e-04
1.0000,1.850815717680930,1.843042062064536,7.77e-03


degree 8
0.0000,1.000000000000000,0.999999999999999,5.55e-16
0.1000,1.005020918400460,1.005026387513225,5.47e-06
0.2000,1.020338844941190,1.020337994550305,8.50e-07
0.3000,1.046751601538090,1.046749271642673,2.33e-06
0.4000,1.085704428383240,1.085710688693304,6.26e-06
0.5000,1.139493927324550,1.139496139684776,2.21e-06
0.6000,1.211628314512320,1.211624885740490,3.43e-06
0.7000,1.307459259733590,1.307465399901298,6.14e-06
0.8000,1.435324199672240,1.435329163827134,4.96e-06
0.9000,1.608725810466050,1.608723153480671,2.66e-06
1.0000,1.850815717680930,1.850790437697369,2.53e-05


degree 12
0.0000,1.000000000000000,1.000000000000000,3.33e-16
0.1000,1.005020918400460,1.005020911791940,6.61e-09
0.2000,1.020338844941190,1.020338855839764,1.09e-08
0.3000,1.046751601538090,1.046751584930862,1.66e-08
0.4000,1.085704428383240,1.085704428554958,1.72e-10
0.5000,1.139493927324550,1.139493922289439,5.04e-09
0.6000,1.211628314512320,1.211628293898147,2.06e-08
0.7000,1.307459259733590,1.307459266955148,7.22e-09
0.8000,1.435324199672240,1.435324167029016,3.26e-08
0.9000,1.608725810466050,1.608725802563174,7.90e-09
1.0000,1.850815717680930,1.850815576474995,1.41e-07


degree 16
0.0000,1.000000000000000,1.000000000000001,1.11e-15
0.1000,1.005020918400460,1.005020918372012,2.84e-11
0.2000,1.020338844941190,1.020338844872290,6.89e-11
0.3000,1.046751601538090,1.046751601599321,6.12e-11
0.4000,1.085704428383240,1.085704428351199,3.20e-11
0.5000,1.139493927324550,1.139493927340580,1.60e-11
0.6000,1.211628314512320,1.211628314531700,1.94e-11
0.7000,1.307459259733590,1.307459259681794,5.18e-11
0.8000,1.435324199672240,1.435324199772841,1.01e-10
0.9000,1.608725810466050,1.608725810518772,5.27e-11
1.0000,1.850815717680930,1.850815717147605,5.33e-10


